n_fds,round,n_attrs,fds,order_secs,graph_secs,repair_secs,total_secs
10,9,11,model->engine_type; model->airbags; model->width; model->length; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.166,0.1283,0.2951
10,10,11,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.1992,0.1354,0.3353
10,11,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power,0.0007,0.0604,0.1103,0.1715
10,12,11,model->engine_type; model->airbags; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.0646,0.1054,0.1707
10,13,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_power->max_torque,0.0007,0.0809,0.1112,0.1928
10,14,11,model->engine_type; model->airbags; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0008,0.2176,0.118,0.3365
10,15,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0009,0.1895,0.1092,0.2995
10,16,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power,0.0007,0.0677,0.1098,0.1782
10,17,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_power->max_torque,0.0007,0.1091,0.1302,0.2399
10,18,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.1791,0.1234,0.3032
10,19,11,model->engine_type; model->airbags; model->width; model->length; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.0657,0.1075,0.1739
10,20,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_power->max_torque,0.0007,0.1339,0.1207,0.2553
10,21,11,model->engine_type; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.2042,0.1236,0.3285
10,22,11,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.0614,0.1101,0.1722
10,23,11,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.1511,0.1099,0.2616
10,24,11,model->engine_type; model->airbags; model->width; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.1766,0.1081,0.2854
